name;type;lat;lng;visibility;wgs84;amsl_ft;agl_ft;state;prec_hz;prec_vt;boundary;creation_date;verification_date;validity_date;data_provider;quality_factor;city
E0100-1;Eolienne;46.082964;5.506164;JOUR ET NUIT;OUI;3648.0;492;VERIFIE;conforme ;inconnu;100;09/10/2017;29/03/2018;29/03/2023;DIRCAM/DIA;8;Labalme
E0100-2;Eolienne;46.077667;5.506809;JOUR ET NUIT;OUI;3720.0;492;VERIFIE;conforme ;inconnu;100;09/10/2017;29/03/2018;29/03/2023;DIRCAM/DIA;8;Vieu-d'Izenave
E0100-3;Eolienne;46.071489;5.509212;JOUR ET NUIT;OUI;3612.0;492;VERIFIE;conforme ;inconnu;100;09/10/2017;29/03/2018;29/03/2023;DIRCAM/DIA;8;Vieu-d'Izenave
E0100-4;Eolienne;46.067723;5.504384;JOUR ET NUIT;OUI;3615.0;492;VERIFIE;conforme ;inconnu;100;09/10/2017;29/03/2018;29/03/2023;DIRCAM/DIA;8;Cerdon
E0100-5;Eolienne;46.054456;5.511034;JOUR ET NUIT;OUI;3766.0;492;VERIFIE;conforme ;inconnu;100;09/10/2017;29/03/2018;29/03/2023;DIRCAM/DIA;8;Izenave
E0100-6;Eolienne;46.049914;5.510778;JOUR ET NUIT;OUI;3753.0;492;VERIFIE;conforme ;inconnu;100;09/10/2017;29/03/2018;29/03/2023;DIRCAM/DIA;8;Izenave
E0100-7;Eolienne;46.045045;5.502817;JOUR ET NUIT;OUI;3514.0;492;VERIFIE;conforme ;inconnu;100;09/10/2017;29/03/2018;29/03/2023;DIRCAM/DIA;8;Izenave
E0100-8;Eolienne;46.041962;5.505242;JOUR ET NUIT;OUI;3478.0;492;VERIFIE;conforme ;inconnu;100;09/10/2017;29/03/2018;29/03/2023;DIRCAM/DIA;8;Izenave
E0100-9;Eolienne;46.0579;5.513753;JOUR ET NUIT;OUI;3707.0;492;VERIFIE;conforme ;inconnu;100;02/12/2021;02/12/2021;02/12/2026;DIRCAM/DIA;8;Izenave
E0101-1;Eolienne;46.198056;5.641112;JOUR ET NUIT;OUI;3848.0;623;VERIFIE;conforme ;inconnu;92;30/07/2019;30/07/2019;30/07/2024;DIRCAM/DIA;6;Apremont

